gensci,analsci,collsci,pynam,GL_pyscinam,N
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,PROCESSIDAE,Decapoda shrimp,3
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,SERGESTIDAE,Decapoda shrimp,6
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,SICYONIA SP,Decapoda shrimp,13
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,SPIRONTOCARIS LILJEBORGII,Decapoda shrimp,4
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,SPIRONTOCARIS SPINUS,Decapoda shrimp,8
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,THALASSINOIDEA,Decapoda shrimp,341
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,UPOGEBIA AFFINIS,Decapoda shrimp,1
ARTHROPODA,DECAPODA,HOMARUS AMERICANUS,HOMARUS AMERICANUS,Decapoda shrimp,113
ARTHROPODA,DECAPODA,PENAEIDAE,PENAEIDAE,Decapoda shrimp,49
ARTHROPODA,DECAPODA,PENAEIDAE,PENAEUS AZTECUS,Decapoda shrimp,3
ARTHROPODA,DECAPODA,PENAEIDAE,PENAEUS SETIFERUS,Decapoda shrimp,1
ARTHROPODA,DECAPODA,SCYLLARIDAE,SCYLLARIDAE,Decapoda shrimp,12
ARTHROPODA,DECAPODA,SCYLLARIDAE,SCYLLARUS SP,Decapoda shrimp,1
ECHINODERMATA,ASTEROIDEA,ASTEROIDEA,ASTERIAS VULGARIS,Echinodermata,1
ECHINODERMATA,ASTEROIDEA,ASTEROIDEA,ASTERIIDAE,Echinodermata,3
ECHINODERMATA,ASTEROIDEA,ASTEROIDEA,ASTEROIDEA,Echinodermata,336
ECHINODERMATA,ASTEROIDEA,ASTEROIDEA,ASTROPECTEN SP,Echinodermata,12
ECHINODERMATA,ASTEROIDEA,ASTEROIDEA,CTENODISCUS CRISPATUS,Echinodermata,2
ECHINODERMATA,ASTEROIDEA,ASTEROIDEA,PEDICELLASTER TYPICUS,Echinodermata,3
ECHINODERMATA,CRINOIDEA,CRINOIDEA,CRINOIDEA,Echinodermata,3
ECHINODERMATA,ECHINOIDEA,ECHIN1,CLYPEASTEROIDA,Echinodermata,212
ECHINODERMATA,ECHINOIDEA,ECHIN1,ECHINOIDEA,Echinodermata,109
ECHINODERMATA,ECHINOIDEA,ECHINOIDEA,ACESTE SP,Echinodermata,1
